experiment_name,classifier,preprocessing,best_validation_accuracy,test_accuracy,macro_f1
iris_mlp_zscore,mlp_classifier,zscore,0.9666666666666667,0.9666666666666667,0.9665831244778613
iris_mlp_minmax,mlp_classifier,minmax,0.9666666666666667,0.9333333333333333,0.9326599326599326
iris_mlp_dropout_robust,mlp_dropout_classifier,robust,0.9666666666666667,0.9333333333333333,0.9326599326599326
iris_linear_zscore,linear_classifier,zscore,0.9333333333333333,0.9333333333333333,0.9333333333333332
iris_linear_minmax,linear_classifier,minmax,0.9333333333333333,0.9333333333333333,0.9333333333333332
iris_mlp_zscore_tuned,mlp_classifier,zscore,0.9333333333333333,0.9333333333333333,0.9333333333333332
